location,data_count,date_range
湖北省武汉市,262,2023-01-01 02:53:00 到 2023-01-31 22:36:00
湖北省武汉市江夏区,131,2023-01-01 02:53:00 到 2023-01-31 22:36:00
湖北省武汉市江夏区梁子湖,252,2023-01-01 02:53:00 到 2023-01-31 22:36:00
湖北省武汉市江夏区水库村,127,2023-01-01 02:53:00 到 2023-01-31 22:36:00
湖北省武汉市江夏区牛山湖,130,2023-01-01 02:53:00 到 2023-01-31 22:36:00
